sweepsTime, magnetization
843, 0.290000
844, 0.255000
845, 0.360000
846, 0.450000
847, 0.440000
848, 0.495000
849, 0.410000
850, 0.440000
851, 0.375000
852, 0.320000
853, 0.310000
854, 0.235000
855, 0.260000
856, 0.225000
857, 0.270000
858, 0.350000
859, 0.385000
860, 0.300000
861, 0.290000
862, 0.165000
863, 0.230000
864, 0.280000
865, 0.350000
866, 0.400000
867, 0.345000
868, 0.360000
869, 0.350000
870, 0.375000
871, 0.375000
872, 0.445000
873, 0.465000
874, 0.360000
875, 0.440000
876, 0.495000
877, 0.395000
878, 0.360000
879, 0.410000
880, 0.445000
881, 0.340000
882, 0.340000
883, 0.350000
884, 0.250000
885, 0.310000
886, 0.390000
887, 0.420000
888, 0.460000
889, 0.470000
890, 0.445000
891, 0.415000
892, 0.360000
893, 0.470000
894, 0.400000
895, 0.440000
896, 0.465000
897, 0.400000
898, 0.320000
899, 0.220000
900, 0.140000
901, 0.135000
902, 0.145000
903, 0.215000
904, 0.245000
905, 0.255000
906, 0.230000
907, 0.225000
908, 0.075000
909, 0.090000
910, 0.110000
911, 0.160000
912, 0.095000
913, 0.070000
914, 0.090000
915, 0.115000
916, 0.045000
917, 0.140000
918, 0.210000
919, 0.305000
920, 0.405000
921, 0.430000
922, 0.505000
923, 0.530000
924, 0.530000
925, 0.520000
926, 0.520000
927, 0.510000
928, 0.550000
929, 0.570000
930, 0.580000
931, 0.610000
932, 0.610000
933, 0.620000
934, 0.565000
935, 0.575000
936, 0.515000
937, 0.500000
938, 0.515000
939, 0.540000
940, 0.490000
941, 0.565000
942, 0.510000
943, 0.450000
944, 0.420000
945, 0.425000
946, 0.230000
947, 0.280000
948, 0.225000
949, 0.130000
950, 0.190000
951, 0.105000
952, 0.140000
953, 0.235000
954, 0.235000
955, 0.200000
956, 0.090000
957, 0.080000
958, 0.045000
959, 0.110000
960, 0.120000
961, 0.105000
962, 0.140000
963, 0.095000
964, 0.175000
965, 0.135000
966, 0.150000
967, 0.175000
968, 0.195000
969, 0.160000
970, 0.065000
971, 0.045000
972, 0.035000
973, 0.070000
974, 0.075000
975, 0.100000
976, 0.145000
977, 0.150000
978, 0.085000
979, 0.140000
980, 0.180000
981, 0.140000
982, 0.130000
983, 0.105000
984, 0.060000
985, 0.020000
986, 0.000000
987, -0.025000
988, -0.035000
989, -0.080000
990, 0.000000
991, -0.015000
992, -0.085000
993, -0.145000
994, -0.170000
995, -0.195000
996, -0.160000
997, -0.220000
998, -0.140000
999, -0.120000
1000, -0.125000
